Country,Year,Vehicle Class,Category Of Vehicle,Sales Of Motor Vehicles,Parameters,Consumer Category,Energy Sale For Utilities And Non-Utilities
India,"Financial Year (Apr - Mar), 2016",Buses,Diesel Cars,4819073,DIESEL/HYBRID,Domestic,31742.65
India,"Financial Year (Apr - Mar), 2008",Two Wheelers,Electric Cars,125042,ELECTRIC(BOV),Domestic,9108.84
India,"Financial Year (Apr - Mar), 2011",Trucks,Scooters,8175571,PETROL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2005",Quadricycle,Motorcycles,3793938,LPG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2007",Trucks,Electric Two Wheelers,550027,PETROL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2014",Trucks,Electric Two Wheelers,,DIESEL,Miscellaneous,34173.92
India,"Financial Year (Apr - Mar), 2024",Four Wheelers,Quadricycle,3114379,ELECTRIC/PLUG-IN,Miscellaneous,82647.28
India,"Financial Year (Apr - Mar), 2019",Trucks,Motorcycles,5330218,DIESEL/HYBRID,Miscellaneous,
India,"Financial Year (Apr - Mar), 2009",Two Wheelers,Quadricycle,5016034,PETROL,Public Water Works & Sewage Pumping,36026.04
India,"Financial Year (Apr - Mar), 2007",Buses,CNG Cars,9672479,DIESEL/HYBRID,Public Water Works & Sewage Pumping,8107.06
India,"Financial Year (Apr - Mar), 2014",Quadricycle,Diesel Cars,,DIESEL/HYBRID,Public Water Works & Sewage Pumping,17931.39
India,"Financial Year (Apr - Mar), 2008",Quadricycle,Electric Cars,,LPG ONLY,Commercial,6268.59
India,"Financial Year (Apr - Mar), 2013",Three Wheelers,Mopeds,2242821,PETROL,Public Water Works & Sewage Pumping,188.16
India,"Financial Year (Apr - Mar), 2003",Two Wheelers,CNG Cars,3606436,ELECTRIC(BOV),Public Water Works & Sewage Pumping,78904.43
India,"Financial Year (Apr - Mar), 2011",Trucks,Mopeds,,ELECTRIC(BOV),Agriculture,3684.79
India,"Financial Year (Apr - Mar), 2010",Two Wheelers,Quadricycle,425162,ELECTRIC(BOV),Miscellaneous,89620.75
India,"Financial Year (Apr - Mar), 2004",Three Wheelers,Motorcycles,494469,DIESEL/HYBRID,Domestic,
India,"Financial Year (Apr - Mar), 2014",Two Wheelers,Motorcycles,,CNG ONLY,Public Water Works & Sewage Pumping,2120.52
India,"Financial Year (Apr - Mar), 2005",Three Wheelers,Diesel Cars,147837,LPG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2015",Four Wheelers,Motorcycles,4072175,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2007",Two Wheelers,Scooters,512939,DIESEL,Agriculture,24638.7
India,"Financial Year (Apr - Mar), 2016",Three Wheelers,Motorcycles,836278,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2017",Three Wheelers,Diesel Cars,,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2011",Four Wheelers,Motorcycles,,PETROL,Miscellaneous,304.47
India,"Financial Year (Apr - Mar), 2022",Two Wheelers,CNG Cars,,ELECTRIC/PLUG-IN,Domestic,6651.35
India,"Financial Year (Apr - Mar), 2020",Trucks,Electric Cars,4066926,CNG ONLY,Domestic,35772.95
India,"Financial Year (Apr - Mar), 2021",Two Wheelers,Electric Two Wheelers,240487,ELECTRIC(BOV),Commercial,
India,"Financial Year (Apr - Mar), 2016",Three Wheelers,Mopeds,,DIESEL/HYBRID,Agriculture,27894.57
India,"Financial Year (Apr - Mar), 2011",Two Wheelers,Diesel Cars,8002339,CNG ONLY,Commercial,3060.21
India,"Financial Year (Apr - Mar), 2002",Three Wheelers,Quadricycle,,DIESEL/HYBRID,Public Water Works & Sewage Pumping,29175.16
India,"Financial Year (Apr - Mar), 2016",Buses,Diesel Cars,1079626,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2010",Two Wheelers,Mopeds,,CNG ONLY,Public Water Works & Sewage Pumping,72679.4
India,"Financial Year (Apr - Mar), 2021",Trucks,Diesel Cars,,LPG ONLY,Public Water Works & Sewage Pumping,97351.6
India,"Financial Year (Apr - Mar), 2017",Buses,Diesel Cars,9849795,LPG ONLY,Domestic,16529.23
India,"Financial Year (Apr - Mar), 2024",Buses,Motorcycles,8146992,DIESEL,Commercial,50340.52
India,"Financial Year (Apr - Mar), 2003",Two Wheelers,Mopeds,3098413,PETROL,Miscellaneous,85177.58
India,"Financial Year (Apr - Mar), 2004",Trucks,Mopeds,973813,PETROL,Domestic,43627.12
India,"Financial Year (Apr - Mar), 2014",Four Wheelers,Quadricycle,,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2016",Trucks,CNG Cars,8900383,LPG ONLY,Miscellaneous,41363.02
India,"Financial Year (Apr - Mar), 2004",Two Wheelers,CNG Cars,8215697,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,18554.18
India,"Financial Year (Apr - Mar), 2015",Trucks,Electric Two Wheelers,,ELECTRIC/PLUG-IN,Commercial,
India,"Financial Year (Apr - Mar), 2010",Buses,Quadricycle,,ELECTRIC/PLUG-IN,Agriculture,27011.56
India,"Financial Year (Apr - Mar), 2015",Three Wheelers,Mopeds,,DIESEL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2021",Buses,Scooters,,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2019",Buses,Electric Cars,4129586,CNG ONLY,Domestic,6045.12
India,"Financial Year (Apr - Mar), 2006",Four Wheelers,Electric Cars,9456879,ELECTRIC/PLUG-IN,Miscellaneous,
India,"Financial Year (Apr - Mar), 2004",Trucks,Scooters,,ELECTRIC(BOV),Agriculture,76002.54
India,"Financial Year (Apr - Mar), 2001",Buses,Electric Cars,,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,CNG Cars,,ELECTRIC(BOV),Miscellaneous,116.81
India,"Financial Year (Apr - Mar), 2014",Three Wheelers,Mopeds,3583258,DIESEL,Agriculture,44213.51
India,"Financial Year (Apr - Mar), 2009",Three Wheelers,CNG Cars,,DIESEL,Domestic,34683.57
India,"Financial Year (Apr - Mar), 2002",Two Wheelers,Motorcycles,4857828,DIESEL,Commercial,26258.94
India,"Financial Year (Apr - Mar), 2003",Trucks,Quadricycle,8348983,DIESEL,Commercial,1287.22
India,"Financial Year (Apr - Mar), 2005",Buses,CNG Cars,,DIESEL,Public Water Works & Sewage Pumping,3437.72
India,"Financial Year (Apr - Mar), 2011",Two Wheelers,Electric Two Wheelers,,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2019",Three Wheelers,CNG Cars,2133120,PETROL,Miscellaneous,97473.21
India,"Financial Year (Apr - Mar), 2016",Buses,Diesel Cars,,DIESEL,Agriculture,48076.8
India,"Financial Year (Apr - Mar), 2014",Four Wheelers,Quadricycle,1507060,ELECTRIC(BOV),Domestic,
India,"Financial Year (Apr - Mar), 2003",Buses,Quadricycle,,PETROL,Commercial,
India,"Financial Year (Apr - Mar), 2009",Four Wheelers,Electric Cars,1253045,DIESEL,Domestic,8032.53
India,"Financial Year (Apr - Mar), 2007",Three Wheelers,Scooters,,DIESEL,Public Water Works & Sewage Pumping,4169.33
India,"Financial Year (Apr - Mar), 2006",Buses,Electric Cars,3040948,CNG ONLY,Miscellaneous,2500.46
India,"Financial Year (Apr - Mar), 2023",Three Wheelers,CNG Cars,1118731,DIESEL,Domestic,60421.73
India,"Financial Year (Apr - Mar), 2003",Four Wheelers,Motorcycles,,DIESEL/HYBRID,Agriculture,
India,"Financial Year (Apr - Mar), 2000",Quadricycle,Diesel Cars,6029676,ELECTRIC(BOV),Public Water Works & Sewage Pumping,68457.92
India,"Financial Year (Apr - Mar), 2020",Quadricycle,Quadricycle,668561,LPG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2012",Two Wheelers,Electric Two Wheelers,,LPG ONLY,Miscellaneous,50552.42
India,"Financial Year (Apr - Mar), 2013",Four Wheelers,Mopeds,5820071,ELECTRIC(BOV),Domestic,3939.59
India,"Financial Year (Apr - Mar), 2002",Four Wheelers,Quadricycle,5658035,ELECTRIC(BOV),Agriculture,8092.26
India,"Financial Year (Apr - Mar), 2019",Quadricycle,Quadricycle,6289066,DIESEL/HYBRID,Miscellaneous,4514.53
India,"Financial Year (Apr - Mar), 2013",Three Wheelers,Diesel Cars,1257880,DIESEL/HYBRID,Commercial,4812.33
India,"Financial Year (Apr - Mar), 2018",Quadricycle,CNG Cars,7468147,ELECTRIC(BOV),Miscellaneous,51609.56
India,"Financial Year (Apr - Mar), 2015",Buses,Quadricycle,6696317,DIESEL,Miscellaneous,28403.51
India,"Financial Year (Apr - Mar), 2015",Quadricycle,Electric Two Wheelers,7138843,ELECTRIC(BOV),Miscellaneous,
India,"Financial Year (Apr - Mar), 2017",Four Wheelers,Electric Cars,3741784,ELECTRIC(BOV),Miscellaneous,4580.04
India,"Financial Year (Apr - Mar), 2015",Three Wheelers,Quadricycle,9058574,PETROL,Agriculture,41066.19
India,"Financial Year (Apr - Mar), 2002",Three Wheelers,Electric Two Wheelers,,DIESEL/HYBRID,Miscellaneous,2482.59
India,"Financial Year (Apr - Mar), 2015",Two Wheelers,Mopeds,7570116,ELECTRIC(BOV),Agriculture,95272.95
India,"Financial Year (Apr - Mar), 2010",Four Wheelers,Quadricycle,,DIESEL/HYBRID,Public Water Works & Sewage Pumping,26238.14
India,"Financial Year (Apr - Mar), 2016",Four Wheelers,Scooters,6941060,ELECTRIC(BOV),Commercial,5379.86
India,"Financial Year (Apr - Mar), 2003",Two Wheelers,Electric Cars,9289915,DIESEL,Miscellaneous,9379.49
India,"Financial Year (Apr - Mar), 2003",Buses,Motorcycles,,CNG ONLY,Agriculture,78669.9
India,"Financial Year (Apr - Mar), 2012",Two Wheelers,Diesel Cars,,LPG ONLY,Agriculture,
India,"Financial Year (Apr - Mar), 2003",Two Wheelers,Diesel Cars,,LPG ONLY,Commercial,60389.48
India,"Financial Year (Apr - Mar), 2002",Three Wheelers,Electric Cars,,ELECTRIC(BOV),Agriculture,
India,"Financial Year (Apr - Mar), 2009",Buses,CNG Cars,9803227,ELECTRIC(BOV),Commercial,3650.45
India,"Financial Year (Apr - Mar), 2009",Buses,Diesel Cars,9727742,PETROL,Miscellaneous,8822.85
India,"Financial Year (Apr - Mar), 2015",Two Wheelers,Quadricycle,,ELECTRIC/PLUG-IN,Miscellaneous,1634.05
India,"Financial Year (Apr - Mar), 2003",Trucks,Electric Cars,788639,CNG ONLY,Domestic,46786.69
India,"Financial Year (Apr - Mar), 2020",Quadricycle,Electric Two Wheelers,2412112,CNG ONLY,Agriculture,63198.58
India,"Financial Year (Apr - Mar), 2006",Two Wheelers,Diesel Cars,954793,LPG ONLY,Public Water Works & Sewage Pumping,794.49
India,"Financial Year (Apr - Mar), 2022",Trucks,Electric Cars,5929588,CNG ONLY,Agriculture,
India,"Financial Year (Apr - Mar), 2008",Buses,Diesel Cars,9346327,PETROL,Public Water Works & Sewage Pumping,35745.4
India,"Financial Year (Apr - Mar), 2024",Four Wheelers,Diesel Cars,,PETROL,Agriculture,80070.75
India,"Financial Year (Apr - Mar), 2016",Three Wheelers,Diesel Cars,,PETROL,Domestic,
India,"Financial Year (Apr - Mar), 2015",Buses,Electric Two Wheelers,,DIESEL,Domestic,7191.88
India,"Financial Year (Apr - Mar), 2008",Three Wheelers,Electric Two Wheelers,,CNG ONLY,Domestic,93694.79
India,"Financial Year (Apr - Mar), 2002",Three Wheelers,Mopeds,,DIESEL/HYBRID,Miscellaneous,11650.46
India,"Financial Year (Apr - Mar), 2007",Four Wheelers,Diesel Cars,,DIESEL,Miscellaneous,12658.78
India,"Financial Year (Apr - Mar), 2015",Buses,Electric Cars,,CNG ONLY,Public Water Works & Sewage Pumping,31087.46
India,"Financial Year (Apr - Mar), 2014",Two Wheelers,Mopeds,5897136,ELECTRIC/PLUG-IN,Commercial,
India,"Financial Year (Apr - Mar), 2024",Buses,Quadricycle,5679453,LPG ONLY,Public Water Works & Sewage Pumping,806.59
India,"Financial Year (Apr - Mar), 2023",Quadricycle,CNG Cars,6998087,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2018",Three Wheelers,Electric Two Wheelers,,LPG ONLY,Domestic,7420.65
India,"Financial Year (Apr - Mar), 2008",Quadricycle,Motorcycles,,CNG ONLY,Domestic,59498.11
India,"Financial Year (Apr - Mar), 2020",Buses,Scooters,,PETROL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2001",Two Wheelers,Electric Cars,5790833,DIESEL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2003",Quadricycle,CNG Cars,6060485,CNG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2013",Trucks,CNG Cars,5011336,DIESEL/HYBRID,Agriculture,4716.39
India,"Financial Year (Apr - Mar), 2016",Trucks,Quadricycle,,CNG ONLY,Public Water Works & Sewage Pumping,71824.45
India,"Financial Year (Apr - Mar), 2004",Trucks,Motorcycles,274826,ELECTRIC/PLUG-IN,Agriculture,9393.96
India,"Financial Year (Apr - Mar), 2010",Trucks,Electric Two Wheelers,,DIESEL/HYBRID,Domestic,66213.75
India,"Financial Year (Apr - Mar), 2023",Trucks,Electric Cars,,DIESEL,Commercial,
India,"Financial Year (Apr - Mar), 2001",Four Wheelers,CNG Cars,8915064,ELECTRIC/PLUG-IN,Miscellaneous,6542.47
India,"Financial Year (Apr - Mar), 2016",Four Wheelers,Quadricycle,,CNG ONLY,Commercial,3454.42
India,"Financial Year (Apr - Mar), 2019",Trucks,Electric Cars,,PETROL,Agriculture,30240.71
India,"Financial Year (Apr - Mar), 2007",Four Wheelers,Motorcycles,7161815,ELECTRIC(BOV),Miscellaneous,6431.03
India,"Financial Year (Apr - Mar), 2019",Four Wheelers,Electric Cars,3989062,LPG ONLY,Miscellaneous,50286.15
India,"Financial Year (Apr - Mar), 2001",Four Wheelers,Mopeds,7599252,DIESEL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2014",Buses,Electric Cars,,LPG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2018",Buses,Electric Cars,,DIESEL/HYBRID,Miscellaneous,34672.26
India,"Financial Year (Apr - Mar), 2006",Four Wheelers,CNG Cars,,DIESEL,Agriculture,
India,"Financial Year (Apr - Mar), 2013",Trucks,Diesel Cars,,CNG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2019",Quadricycle,Electric Two Wheelers,,LPG ONLY,Agriculture,4168.45
India,"Financial Year (Apr - Mar), 2016",Quadricycle,Mopeds,,ELECTRIC/PLUG-IN,Commercial,46719.49
India,"Financial Year (Apr - Mar), 2021",Quadricycle,Diesel Cars,,ELECTRIC/PLUG-IN,Agriculture,66998.1
India,"Financial Year (Apr - Mar), 2016",Buses,Motorcycles,5587558,ELECTRIC(BOV),Agriculture,25452.46
India,"Financial Year (Apr - Mar), 2005",Four Wheelers,Quadricycle,,LPG ONLY,Domestic,71471.65
India,"Financial Year (Apr - Mar), 2023",Four Wheelers,CNG Cars,7991806,DIESEL/HYBRID,Commercial,
India,"Financial Year (Apr - Mar), 2017",Two Wheelers,CNG Cars,,LPG ONLY,Miscellaneous,84464.58
India,"Financial Year (Apr - Mar), 2023",Three Wheelers,Electric Cars,,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,66243.02
India,"Financial Year (Apr - Mar), 2017",Four Wheelers,Quadricycle,,PETROL,Commercial,1782.54
India,"Financial Year (Apr - Mar), 2015",Quadricycle,Diesel Cars,5685919,CNG ONLY,Agriculture,
India,"Financial Year (Apr - Mar), 2017",Quadricycle,Motorcycles,,ELECTRIC(BOV),Agriculture,41010.57
India,"Financial Year (Apr - Mar), 2024",Three Wheelers,Quadricycle,3997400,PETROL,Domestic,78638.73
India,"Financial Year (Apr - Mar), 2010",Trucks,Quadricycle,4194001,ELECTRIC/PLUG-IN,Commercial,
India,"Financial Year (Apr - Mar), 2003",Four Wheelers,Motorcycles,7329359,CNG ONLY,Agriculture,1884.23
India,"Financial Year (Apr - Mar), 2003",Three Wheelers,Quadricycle,1462847,ELECTRIC(BOV),Miscellaneous,
India,"Financial Year (Apr - Mar), 2022",Four Wheelers,Scooters,7468226,ELECTRIC(BOV),Miscellaneous,8512.6
India,"Financial Year (Apr - Mar), 2007",Four Wheelers,Quadricycle,,PETROL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2007",Three Wheelers,Diesel Cars,,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,6228.93
India,"Financial Year (Apr - Mar), 2017",Three Wheelers,Motorcycles,,PETROL,Public Water Works & Sewage Pumping,66787.34
India,"Financial Year (Apr - Mar), 2008",Two Wheelers,Motorcycles,7572161,CNG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2014",Four Wheelers,Motorcycles,7803067,PETROL,Commercial,
India,"Financial Year (Apr - Mar), 2011",Three Wheelers,Electric Cars,,ELECTRIC(BOV),Miscellaneous,7264.56
India,"Financial Year (Apr - Mar), 2019",Three Wheelers,Electric Cars,6764458,CNG ONLY,Commercial,6993.28
India,"Financial Year (Apr - Mar), 2011",Three Wheelers,Scooters,6985291,DIESEL,Domestic,2138.47
India,"Financial Year (Apr - Mar), 2006",Two Wheelers,Electric Cars,3996752,DIESEL/HYBRID,Miscellaneous,429.31
India,"Financial Year (Apr - Mar), 2011",Trucks,Diesel Cars,5944299,DIESEL,Domestic,
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,Scooters,9305252,DIESEL/HYBRID,Miscellaneous,
India,"Financial Year (Apr - Mar), 2016",Three Wheelers,Electric Two Wheelers,9808983,DIESEL/HYBRID,Miscellaneous,
India,"Financial Year (Apr - Mar), 2005",Four Wheelers,Electric Cars,,DIESEL,Public Water Works & Sewage Pumping,88669.34
India,"Financial Year (Apr - Mar), 2005",Four Wheelers,Quadricycle,8262926,DIESEL/HYBRID,Commercial,75178.44
India,"Financial Year (Apr - Mar), 2018",Quadricycle,CNG Cars,8636686,DIESEL,Miscellaneous,9764.37
India,"Financial Year (Apr - Mar), 2015",Two Wheelers,Electric Cars,,ELECTRIC(BOV),Commercial,5551.39
India,"Financial Year (Apr - Mar), 2022",Buses,Diesel Cars,2603103,DIESEL/HYBRID,Commercial,9739.04
India,"Financial Year (Apr - Mar), 2024",Quadricycle,Electric Cars,,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2014",Quadricycle,CNG Cars,,DIESEL/HYBRID,Miscellaneous,87293.25
India,"Financial Year (Apr - Mar), 2008",Trucks,Mopeds,,CNG ONLY,Commercial,30443.48
India,"Financial Year (Apr - Mar), 2001",Quadricycle,Mopeds,,ELECTRIC(BOV),Agriculture,16511.37
India,"Financial Year (Apr - Mar), 2021",Three Wheelers,Quadricycle,,ELECTRIC/PLUG-IN,Domestic,9577.06
India,"Financial Year (Apr - Mar), 2013",Trucks,Scooters,,DIESEL/HYBRID,Miscellaneous,
India,"Financial Year (Apr - Mar), 2000",Trucks,Mopeds,9928059,ELECTRIC(BOV),Domestic,56176.25
India,"Financial Year (Apr - Mar), 2018",Quadricycle,Scooters,,DIESEL/HYBRID,Agriculture,11732.41
India,"Financial Year (Apr - Mar), 2020",Buses,Electric Cars,,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,4976.43
India,"Financial Year (Apr - Mar), 2007",Quadricycle,Electric Two Wheelers,4339266,CNG ONLY,Agriculture,
India,"Financial Year (Apr - Mar), 2016",Three Wheelers,Motorcycles,,ELECTRIC/PLUG-IN,Miscellaneous,
India,"Financial Year (Apr - Mar), 2008",Quadricycle,Electric Cars,,LPG ONLY,Miscellaneous,72801.73
India,"Financial Year (Apr - Mar), 2022",Quadricycle,Motorcycles,4915349,ELECTRIC/PLUG-IN,Domestic,6014.25
India,"Financial Year (Apr - Mar), 2005",Buses,Electric Two Wheelers,2727370,ELECTRIC/PLUG-IN,Commercial,
India,"Financial Year (Apr - Mar), 2012",Two Wheelers,Diesel Cars,,DIESEL/HYBRID,Domestic,
India,"Financial Year (Apr - Mar), 2015",Three Wheelers,Diesel Cars,,DIESEL,Domestic,65217.51
India,"Financial Year (Apr - Mar), 2008",Two Wheelers,Diesel Cars,7062710,DIESEL,Commercial,4597
India,"Financial Year (Apr - Mar), 2005",Two Wheelers,Electric Cars,2396568,PETROL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2007",Trucks,Motorcycles,,ELECTRIC/PLUG-IN,Agriculture,14687.91
India,"Financial Year (Apr - Mar), 2017",Trucks,CNG Cars,,CNG ONLY,Domestic,51559.33
India,"Financial Year (Apr - Mar), 2016",Trucks,Electric Two Wheelers,,CNG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2010",Buses,Diesel Cars,4550272,DIESEL,Commercial,58024.46
India,"Financial Year (Apr - Mar), 2009",Four Wheelers,Electric Two Wheelers,,PETROL,Domestic,24989.1
India,"Financial Year (Apr - Mar), 2012",Trucks,Quadricycle,2869453,LPG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2008",Buses,Mopeds,5008710,ELECTRIC/PLUG-IN,Agriculture,5565.01
India,"Financial Year (Apr - Mar), 2014",Two Wheelers,Mopeds,,CNG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2005",Four Wheelers,Diesel Cars,,DIESEL/HYBRID,Commercial,
India,"Financial Year (Apr - Mar), 2020",Trucks,Electric Cars,693045,LPG ONLY,Commercial,550.8
India,"Financial Year (Apr - Mar), 2016",Two Wheelers,Motorcycles,671944,PETROL,Miscellaneous,1054.5
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,Mopeds,1671241,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,8655.64
India,"Financial Year (Apr - Mar), 2022",Trucks,Electric Two Wheelers,6454861,ELECTRIC(BOV),Domestic,
India,"Financial Year (Apr - Mar), 2013",Three Wheelers,Mopeds,5038699,DIESEL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2005",Trucks,Electric Cars,4878136,LPG ONLY,Agriculture,45265.87
India,"Financial Year (Apr - Mar), 2015",Three Wheelers,Scooters,7179165,DIESEL/HYBRID,Commercial,91535.67
India,"Financial Year (Apr - Mar), 2010",Quadricycle,Diesel Cars,,DIESEL/HYBRID,Miscellaneous,1845.45
India,"Financial Year (Apr - Mar), 2001",Two Wheelers,Electric Two Wheelers,,LPG ONLY,Agriculture,
India,"Financial Year (Apr - Mar), 2006",Trucks,Diesel Cars,2562387,PETROL,Domestic,6399.78
India,"Financial Year (Apr - Mar), 2021",Quadricycle,Diesel Cars,,DIESEL,Commercial,27433.03
India,"Financial Year (Apr - Mar), 2008",Trucks,Mopeds,,ELECTRIC/PLUG-IN,Commercial,96657.61
India,"Financial Year (Apr - Mar), 2014",Trucks,Quadricycle,9160262,ELECTRIC/PLUG-IN,Domestic,
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,Quadricycle,,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2007",Quadricycle,CNG Cars,5418249,DIESEL/HYBRID,Miscellaneous,
India,"Financial Year (Apr - Mar), 2004",Buses,Scooters,,LPG ONLY,Agriculture,4445.01
India,"Financial Year (Apr - Mar), 2003",Four Wheelers,Mopeds,6756929,CNG ONLY,Agriculture,29301.24
India,"Financial Year (Apr - Mar), 2021",Two Wheelers,Electric Two Wheelers,117154,DIESEL,Domestic,
India,"Financial Year (Apr - Mar), 2009",Two Wheelers,CNG Cars,2716171,ELECTRIC/PLUG-IN,Miscellaneous,58684.81
India,"Financial Year (Apr - Mar), 2013",Three Wheelers,Scooters,4702489,PETROL,Commercial,
India,"Financial Year (Apr - Mar), 2015",Three Wheelers,Quadricycle,,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2010",Quadricycle,Motorcycles,,LPG ONLY,Agriculture,41758.96
India,"Financial Year (Apr - Mar), 2016",Two Wheelers,Quadricycle,,DIESEL/HYBRID,Agriculture,37770.98
India,"Financial Year (Apr - Mar), 2009",Three Wheelers,Scooters,,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2013",Two Wheelers,Electric Two Wheelers,,DIESEL,Domestic,98384.02
India,"Financial Year (Apr - Mar), 2004",Four Wheelers,CNG Cars,,ELECTRIC(BOV),Agriculture,
India,"Financial Year (Apr - Mar), 2008",Trucks,Scooters,1525697,DIESEL,Agriculture,11003.91
India,"Financial Year (Apr - Mar), 2013",Three Wheelers,Mopeds,4823417,LPG ONLY,Commercial,2685.77
India,"Financial Year (Apr - Mar), 2007",Two Wheelers,CNG Cars,,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2010",Three Wheelers,Mopeds,4732104,PETROL,Domestic,1459.66
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,Scooters,,PETROL,Domestic,194.39
India,"Financial Year (Apr - Mar), 2020",Two Wheelers,Quadricycle,,DIESEL,Commercial,7248.85
India,"Financial Year (Apr - Mar), 2020",Buses,Diesel Cars,8990052,DIESEL/HYBRID,Public Water Works & Sewage Pumping,4084.52
India,"Financial Year (Apr - Mar), 2016",Four Wheelers,Electric Two Wheelers,8056534,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2024",Trucks,Electric Cars,453172,LPG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2015",Quadricycle,Electric Cars,,DIESEL/HYBRID,Commercial,
India,"Financial Year (Apr - Mar), 2010",Two Wheelers,Diesel Cars,5340605,LPG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2008",Buses,Quadricycle,1026487,CNG ONLY,Public Water Works & Sewage Pumping,70431.22
India,"Financial Year (Apr - Mar), 2006",Quadricycle,Diesel Cars,,PETROL,Domestic,98768.52
India,"Financial Year (Apr - Mar), 2011",Four Wheelers,Electric Two Wheelers,,ELECTRIC(BOV),Commercial,7768.14
India,"Financial Year (Apr - Mar), 2002",Four Wheelers,Diesel Cars,,ELECTRIC/PLUG-IN,Domestic,6358.22
India,"Financial Year (Apr - Mar), 2007",Quadricycle,Scooters,,DIESEL,Domestic,21571.95
India,"Financial Year (Apr - Mar), 2005",Two Wheelers,Electric Two Wheelers,2826300,DIESEL/HYBRID,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2002",Buses,Electric Cars,,DIESEL/HYBRID,Agriculture,5753.79
India,"Financial Year (Apr - Mar), 2014",Quadricycle,Quadricycle,,CNG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2006",Three Wheelers,Scooters,1415313,DIESEL/HYBRID,Commercial,
India,"Financial Year (Apr - Mar), 2007",Buses,Quadricycle,8397484,PETROL,Agriculture,
India,"Financial Year (Apr - Mar), 2021",Three Wheelers,Quadricycle,4488903,DIESEL,Miscellaneous,27665.85
India,"Financial Year (Apr - Mar), 2012",Trucks,Quadricycle,,DIESEL,Commercial,62669.83
India,"Financial Year (Apr - Mar), 2009",Buses,Electric Cars,6560402,PETROL,Miscellaneous,4056.97
India,"Financial Year (Apr - Mar), 2018",Three Wheelers,Electric Cars,,DIESEL/HYBRID,Miscellaneous,
India,"Financial Year (Apr - Mar), 2023",Quadricycle,Mopeds,,DIESEL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2021",Quadricycle,Mopeds,8455288,DIESEL,Commercial,
India,"Financial Year (Apr - Mar), 2008",Three Wheelers,CNG Cars,6992660,LPG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2012",Trucks,Electric Two Wheelers,4107304,DIESEL/HYBRID,Commercial,58205.33
